Model,Var,Anchor1,Anchor2,EV_low,EV_high,p_LogProb,Shapley_low,Shapley_high,p_Shapley,p_Wilcoxon,p_Permutation,BSS_var
gpt-neo-125M,V0,10,65,32.054916570978165,42.50215258493889,4.359904331941133e-16,-0.3513310814257895,-0.7011534909505656,2.0740386780723297e-11,1.388013744303172e-12,9.999000099990002e-05,-0.38174567841131746
gpt-neo-125M,V1-S,10,65,46.86057197304646,55.92988729603076,1.1783396983951844e-12,-0.2546356682582656,-0.5743477365536855,1.121407783480965e-11,2.1514004921003384e-10,9.999000099990002e-05,-0.36855339536536613
gpt-neo-125M,V2-S,10,65,48.24446677685148,52.88010379732182,2.7836954855861614e-19,-0.9266405145056767,-1.2366132921364048,6.435052350420616e-15,5.971888422986718e-14,9.999000099990002e-05,-0.4040559615288656
gpt-neo-125M,V3-S,10,65,44.24633706615238,51.8382184286491,6.651362889578974e-33,-0.2193870926183639,-0.4345763759263376,1.0408845505709971e-10,8.491918562330793e-18,9.999000099990002e-05,-0.28600931241498206
gpt-neo-125M,V4-S,10,65,39.743472573594985,49.63695271695832,9.111350576523892e-20,-0.4637273227666864,-0.7680627902840623,4.1330536037625086e-11,2.7340574409435295e-14,9.999000099990002e-05,-0.34634032819752086
gpt-neo-125M,V5-S,10,65,52.37065506233105,60.212873251579104,1.950871555183461e-24,-0.3888150227468203,-0.3820587117778192,0.8838331337304132,8.461911305312323e-16,9.999000099990002e-05,0.07854295974627046
gpt-neo-125M,V1-D,15,70,44.29715808060351,54.86532774244973,0.834726670581335,-0.478001691511657,-0.6834844291800319,1.2343529410058254e-09,0.9419380642719792,0.8365163483651635,-0.10166144534675917
gpt-neo-125M,V2-D,20,75,47.36349404920367,51.93930411799409,0.7505343674585171,-1.109036071244443,-1.4576313256627262,9.523996780220304e-21,0.5386497824841083,0.7496250374962504,-0.17755092217135304
gpt-neo-125M,V3-D,25,80,45.917800946614,50.23984634028111,5.656646154232199e-07,-0.4754256542476982,-0.4403049272143899,0.1138021274927025,3.2193233867505743e-06,9.999000099990002e-05,0.20426547470115686
gpt-neo-125M,V4-D,30,85,41.490441793091136,50.40340887670617,0.1297926526084303,-0.6191708410140311,-1.0198872366016454,1.0918398109033797e-12,0.1000321843475834,0.1277872212778722,-0.3829969270388272
